id,cuisines[0],cuisines[1],cuisines[2],cuisines[3],cuisines[4]
1,South Indian,Fast Food,Beverages,Cold Drinks,
2,Japanese,,,,
3,Mexican,South Indian,Chinese,Beverages,
4,Fast Food,Mexican,,,
5,Mexican,Korean,Japanese,,
6,Korean,Fast Food,Chinese,Italian,
7,Italian,Mexican,Chinese,,
8,North Indian,Cold Drinks,,,
9,South Indian,North Indian,Fast Food,Italian,
10,Cold Drinks,Mexican,,,
11,Mexican,Italian,Cold Drinks,,
12,Beverages,Mexican,Chinese,Fast Food,
13,Chinese,South Indian,Cold Drinks,,
14,Japanese,,,,
15,Cold Drinks,Beverages,,,
16,Japanese,Beverages,,,
17,Korean,Mexican,South Indian,,
18,Italian,Cold Drinks,,,
19,Italian,Cold Drinks,,,
20,Cold Drinks,North Indian,Korean,South Indian,
21,Mexican,Korean,Italian,,
22,Japanese,,,,
23,South Indian,Fast Food,Italian,Chinese,Japanese
24,Cold Drinks,,,,
25,North Indian,,,,
26,Mexican,Korean,North Indian,Beverages,Japanese
27,Cold Drinks,Fast Food,North Indian,Japanese,Beverages
28,South Indian,Beverages,Korean,Japanese,North Indian
29,Cold Drinks,,,,
30,Italian,Cold Drinks,,,
31,South Indian,Mexican,Chinese,Beverages,
32,Japanese,Chinese,,,
33,Japanese,Mexican,Fast Food,,
34,Mexican,South Indian,Cold Drinks,Japanese,Fast Food
35,Fast Food,Korean,South Indian,,
36,Mexican,Italian,Beverages,Chinese,South Indian
37,Korean,Italian,Mexican,North Indian,Japanese
38,Korean,Fast Food,Beverages,,
39,Mexican,Korean,,,
40,Chinese,Mexican,Korean,Italian,
41,Chinese,Mexican,,,
42,Japanese,Korean,Italian,Chinese,South Indian
43,Mexican,Fast Food,Cold Drinks,South Indian,
44,North Indian,Fast Food,Japanese,,
45,Cold Drinks,Japanese,,,
46,Beverages,,,,
47,North Indian,,,,
48,South Indian,Mexican,Fast Food,,
49,Cold Drinks,Italian,Mexican,North Indian,
50,Beverages,Cold Drinks,Italian,Korean,
51,Korean,Italian,Mexican,,
52,North Indian,Japanese,,,
53,Italian,South Indian,Chinese,,
54,Korean,Mexican,North Indian,,
55,North Indian,Chinese,Beverages,Fast Food,Cold Drinks
56,Cold Drinks,North Indian,,,
57,South Indian,Italian,Mexican,Chinese,Fast Food
58,Chinese,Fast Food,South Indian,Beverages,
59,Japanese,Italian,Beverages,Chinese,
60,North Indian,Cold Drinks,Chinese,,
61,South Indian,Mexican,Japanese,,
62,Fast Food,South Indian,Italian,Beverages,North Indian
63,South Indian,North Indian,,,
64,Beverages,,,,
65,North Indian,Beverages,,,
66,Italian,Mexican,Fast Food,,
67,Cold Drinks,,,,
68,Italian,Cold Drinks,Korean,Mexican,
69,Japanese,North Indian,Mexican,,
70,Japanese,North Indian,,,
71,Japanese,Korean,South Indian,Italian,Beverages
72,Beverages,Japanese,Korean,,
73,South Indian,Italian,Chinese,North Indian,Japanese
74,Mexican,Beverages,,,
75,Chinese,North Indian,Cold Drinks,Korean,South Indian
76,Cold Drinks,,,,
77,Mexican,Japanese,Fast Food,North Indian,Italian
78,Japanese,South Indian,,,
79,South Indian,Mexican,,,
80,Italian,North Indian,Cold Drinks,,
81,Cold Drinks,,,,
82,Korean,Fast Food,Beverages,Japanese,
83,Beverages,,,,
84,Cold Drinks,Japanese,South Indian,Chinese,Korean
85,Beverages,Cold Drinks,Mexican,Fast Food,
86,Mexican,North Indian,Japanese,Beverages,
87,South Indian,,,,
88,Chinese,Cold Drinks,,,
89,Cold Drinks,Korean,Italian,,
90,Cold Drinks,Chinese,Japanese,Korean,
91,Italian,Cold Drinks,Mexican,,
92,South Indian,Chinese,,,
93,North Indian,,,,
94,Cold Drinks,Mexican,Chinese,,
95,Chinese,,,,
96,Korean,Fast Food,Italian,Japanese,
97,North Indian,Korean,South Indian,Mexican,
98,Chinese,North Indian,Cold Drinks,Beverages,Italian
99,North Indian,Japanese,Chinese,,
100,Fast Food,,,,
101,Japanese,North Indian,Beverages,South Indian,
102,Mexican,North Indian,,,
103,Fast Food,Beverages,Japanese,Korean,
104,Cold Drinks,Japanese,,,
105,Italian,Fast Food,South Indian,Korean,
106,Chinese,Beverages,North Indian,,
107,Fast Food,North Indian,South Indian,,
108,Cold Drinks,,,,
109,Korean,Chinese,Cold Drinks,Beverages,South Indian
110,Mexican,South Indian,Korean,,
111,Mexican,,,,
112,Japanese,Korean,North Indian,Chinese,South Indian
113,Japanese,South Indian,,,
114,Japanese,Fast Food,Mexican,Cold Drinks,
115,Mexican,Italian,,,
116,Chinese,Mexican,,,
117,Japanese,,,,
118,Japanese,,,,
119,Korean,North Indian,Japanese,Cold Drinks,
120,Korean,,,,
121,Chinese,Cold Drinks,,,
122,Beverages,South Indian,,,
123,South Indian,North Indian,Fast Food,Beverages,Korean
124,Italian,Japanese,,,
125,Beverages,Korean,,,
126,Italian,South Indian,Cold Drinks,,
127,Cold Drinks,Japanese,Italian,,
128,Italian,North Indian,Beverages,Fast Food,Mexican
129,Korean,Mexican,Japanese,Fast Food,
130,Beverages,Cold Drinks,Mexican,Korean,
131,Cold Drinks,Korean,South Indian,North Indian,Chinese
132,Japanese,Italian,Korean,Chinese,South Indian
133,Italian,South Indian,,,
134,Italian,,,,
135,Mexican,Fast Food,Italian,,
136,Fast Food,Japanese,North Indian,,
137,South Indian,North Indian,Mexican,,
138,Cold Drinks,Korean,Fast Food,,
139,Korean,North Indian,Italian,Fast Food,South Indian
140,Mexican,Japanese,,,
141,North Indian,Mexican,Japanese,,
142,Mexican,Beverages,Italian,Chinese,Japanese
143,Korean,South Indian,Beverages,Italian,Japanese
144,South Indian,Japanese,Chinese,Fast Food,Korean
145,Chinese,Korean,Beverages,,
146,Japanese,,,,
147,Korean,,,,
148,Cold Drinks,North Indian,Mexican,Italian,
149,Fast Food,Chinese,,,
150,Chinese,,,,
151,Japanese,Korean,,,
152,South Indian,North Indian,Beverages,,
153,Korean,South Indian,Chinese,,
154,South Indian,North Indian,,,
155,Italian,North Indian,Chinese,Korean,Fast Food
156,Chinese,Cold Drinks,Mexican,Italian,South Indian
157,Korean,Chinese,Italian,Japanese,
158,Japanese,Beverages,Fast Food,,
159,Italian,Fast Food,Mexican,Korean,
160,Japanese,Cold Drinks,,,
161,Chinese,South Indian,Mexican,,
162,Fast Food,,,,
163,South Indian,Beverages,Chinese,Cold Drinks,North Indian
164,North Indian,Mexican,Cold Drinks,Beverages,
165,Korean,South Indian,,,
166,Fast Food,,,,
167,South Indian,Korean,,,
168,Japanese,,,,
169,Japanese,Fast Food,,,
170,Korean,Mexican,Beverages,,
171,Chinese,Mexican,,,
172,South Indian,Italian,Fast Food,Korean,
173,Beverages,Korean,Chinese,Fast Food,
174,Mexican,Korean,Chinese,Italian,Cold Drinks
175,Beverages,,,,
176,Fast Food,Chinese,North Indian,South Indian,Cold Drinks
177,North Indian,,,,
178,North Indian,Italian,Korean,Japanese,Beverages
179,Italian,Japanese,,,
180,Beverages,Cold Drinks,Korean,,
181,Korean,Italian,North Indian,,
182,Korean,Cold Drinks,Italian,North Indian,
183,Korean,Cold Drinks,Fast Food,,
184,Italian,,,,
185,Italian,Korean,Cold Drinks,Fast Food,Mexican
186,Fast Food,Mexican,Korean,North Indian,
187,South Indian,,,,
188,Japanese,South Indian,Cold Drinks,Korean,Fast Food
189,Fast Food,Cold Drinks,North Indian,Korean,
190,Chinese,Beverages,Italian,Fast Food,Cold Drinks
191,Beverages,,,,
192,Italian,North Indian,Mexican,,
193,Korean,Fast Food,,,
194,Japanese,Mexican,Korean,,
195,Korean,Cold Drinks,Beverages,Mexican,South Indian
196,Korean,,,,
197,Fast Food,Cold Drinks,,,
198,Korean,Mexican,Cold Drinks,,
199,Mexican,Japanese,North Indian,Fast Food,Italian
200,Fast Food,North Indian,,,
201,North Indian,,,,
202,Fast Food,Japanese,Mexican,,
203,Fast Food,South Indian,Korean,,
204,Mexican,Italian,Beverages,North Indian,Korean
205,South Indian,Beverages,Mexican,,
206,Korean,Mexican,,,
207,Cold Drinks,,,,
208,Mexican,,,,
209,Mexican,Italian,Cold Drinks,,
210,Fast Food,Beverages,Cold Drinks,Chinese,
211,Mexican,South Indian,Italian,,
212,Japanese,Mexican,Italian,Korean,
213,Cold Drinks,Italian,Chinese,North Indian,South Indian
214,Cold Drinks,Japanese,Fast Food,Chinese,
215,Fast Food,Mexican,North Indian,Chinese,
216,Korean,Chinese,South Indian,Beverages,
217,Fast Food,South Indian,Japanese,,
218,Italian,South Indian,,,
219,Beverages,Mexican,Chinese,South Indian,Japanese
220,Italian,,,,
221,Cold Drinks,,,,
222,Beverages,Italian,North Indian,Japanese,Fast Food
223,Cold Drinks,Chinese,,,
224,Fast Food,Japanese,,,
225,Chinese,South Indian,Korean,,
226,Chinese,Korean,Fast Food,Mexican,Japanese
227,Cold Drinks,North Indian,Italian,South Indian,Beverages
228,Cold Drinks,Japanese,South Indian,,
229,Japanese,Italian,Mexican,,
230,Mexican,Japanese,Italian,Korean,South Indian
231,Korean,South Indian,Japanese,Fast Food,Italian
232,Cold Drinks,Fast Food,South Indian,Japanese,North Indian
233,Chinese,Italian,Mexican,Beverages,Korean
234,Fast Food,Beverages,Italian,North Indian,Japanese
235,Korean,North Indian,,,
236,Italian,Cold Drinks,Chinese,Korean,
237,North Indian,Cold Drinks,Beverages,Mexican,South Indian
238,Mexican,Fast Food,Cold Drinks,Italian,North Indian
239,Japanese,Cold Drinks,South Indian,,
240,South Indian,,,,
241,Italian,,,,
242,Cold Drinks,Italian,Japanese,Chinese,
243,North Indian,Fast Food,Cold Drinks,,
244,Mexican,Beverages,,,
245,Beverages,Cold Drinks,,,
246,Italian,Beverages,Korean,,
247,Japanese,,,,
248,North Indian,Mexican,,,
249,Cold Drinks,Italian,South Indian,Chinese,
250,Chinese,Cold Drinks,Japanese,,
251,Japanese,Fast Food,Korean,Cold Drinks,
252,Chinese,Cold Drinks,Japanese,South Indian,
253,Cold Drinks,Mexican,Chinese,North Indian,Japanese
254,Mexican,,,,
255,Cold Drinks,Chinese,North Indian,Italian,
256,Chinese,Beverages,Korean,,
257,Chinese,Beverages,,,
258,South Indian,,,,
259,Beverages,South Indian,Fast Food,,
260,Korean,Beverages,Japanese,,
261,Cold Drinks,,,,
262,Mexican,,,,
263,North Indian,Cold Drinks,,,
264,Japanese,Cold Drinks,Beverages,,
265,South Indian,Mexican,Fast Food,,
266,Japanese,Chinese,Beverages,,
267,Chinese,Fast Food,Japanese,Korean,Beverages
268,South Indian,Korean,Japanese,Chinese,Beverages
269,Japanese,,,,
270,Beverages,Korean,Japanese,,
271,North Indian,Cold Drinks,Mexican,,
272,Italian,Korean,North Indian,South Indian,
273,Cold Drinks,Beverages,South Indian,,
274,South Indian,Fast Food,Cold Drinks,Chinese,Mexican
275,North Indian,South Indian,Mexican,,
276,Mexican,Japanese,Italian,South Indian,Beverages
277,Korean,Japanese,,,
278,Beverages,North Indian,Fast Food,Italian,South Indian
279,Italian,,,,
280,North Indian,South Indian,,,
281,South Indian,North Indian,Fast Food,,
282,Italian,,,,
283,Fast Food,Japanese,Cold Drinks,North Indian,
284,Beverages,Korean,Japanese,Italian,
285,Japanese,Mexican,Cold Drinks,Italian,
286,South Indian,Japanese,Italian,Fast Food,Korean
287,Italian,Beverages,Chinese,,
288,Beverages,Chinese,,,
289,Fast Food,South Indian,Korean,Cold Drinks,
290,Mexican,Italian,North Indian,,
291,Cold Drinks,Beverages,Fast Food,,
292,Fast Food,Beverages,,,
293,Fast Food,Beverages,Korean,,
294,South Indian,Beverages,Mexican,Italian,
295,Korean,Chinese,Italian,South Indian,North Indian
296,Japanese,North Indian,,,
297,Cold Drinks,Korean,Italian,,
298,Cold Drinks,Fast Food,North Indian,,
299,Beverages,Japanese,,,
300,Japanese,Korean,Fast Food,,
301,Fast Food,Chinese,Italian,,
302,Fast Food,Mexican,Korean,Italian,
303,Italian,Mexican,Cold Drinks,,
304,Italian,Fast Food,,,
305,Korean,Mexican,North Indian,Beverages,
306,Chinese,Cold Drinks,Japanese,Beverages,Fast Food
307,Italian,,,,
308,Fast Food,Beverages,Japanese,Mexican,Chinese
309,Korean,South Indian,,,
310,Cold Drinks,North Indian,Korean,,
311,Mexican,,,,
312,Chinese,South Indian,Korean,,
313,South Indian,Italian,North Indian,Mexican,Fast Food
314,Cold Drinks,,,,
315,North Indian,Korean,Italian,Chinese,
316,Korean,Cold Drinks,Chinese,Italian,
317,Chinese,Mexican,Japanese,Korean,
318,South Indian,Korean,Italian,,
319,Cold Drinks,North Indian,Korean,Beverages,Chinese
320,Korean,South Indian,,,
321,Italian,Japanese,Korean,North Indian,Fast Food
322,Italian,Mexican,,,
323,Beverages,Mexican,,,
324,Beverages,Fast Food,,,
