id,dishes[0],dishes[1],dishes[2],dishes[3],dishes[4],dishes[5],dishes[6],dishes[7],dishes[8],dishes[9],dishes[10],dishes[11],dishes[12],dishes[13],dishes[14],dishes[15],dishes[16],dishes[17],dishes[18],dishes[19],dishes[20],dishes[21],dishes[22],dishes[23],dishes[24],dishes[25],dishes[26],dishes[27],dishes[28],dishes[29],dishes[30],dishes[31],dishes[32],dishes[33],dishes[34],dishes[35],dishes[36],dishes[37],dishes[38],dishes[39],dishes[40],dishes[41],dishes[42],dishes[43],dishes[44],dishes[45],dishes[46],dishes[47],dishes[48],dishes[49],dishes[50],dishes[51],dishes[52],dishes[53],dishes[54],dishes[55],dishes[56],dishes[57],dishes[58],dishes[59],dishes[60],dishes[61],dishes[62],dishes[63],dishes[64],dishes[65],dishes[66],dishes[67],dishes[68],dishes[69],dishes[70],dishes[71],dishes[72],dishes[73],dishes[74],dishes[75],dishes[76],dishes[77],dishes[78],dishes[79],dishes[80],dishes[81],dishes[82],dishes[83],dishes[84],dishes[85],dishes[86],dishes[87],dishes[88],dishes[89],dishes[90],dishes[91],dishes[92],dishes[93],dishes[94],dishes[95],dishes[96],dishes[97],dishes[98],dishes[99],prices[0],prices[1],prices[2],prices[3],prices[4],prices[5],prices[6],prices[7],prices[8],prices[9],prices[10],prices[11],prices[12],prices[13],prices[14],prices[15],prices[16],prices[17],prices[18],prices[19],prices[20],prices[21],prices[22],prices[23],prices[24],prices[25],prices[26],prices[27],prices[28],prices[29],prices[30],prices[31],prices[32],prices[33],prices[34],prices[35],prices[36],prices[37],prices[38],prices[39],prices[40],prices[41],prices[42],prices[43],prices[44],prices[45],prices[46],prices[47],prices[48],prices[49],prices[50],prices[51],prices[52],prices[53],prices[54],prices[55],prices[56],prices[57],prices[58],prices[59],prices[60],prices[61],prices[62],prices[63],prices[64],prices[65],prices[66],prices[67],prices[68],prices[69],prices[70],prices[71],prices[72],prices[73],prices[74],prices[75],prices[76],prices[77],prices[78],prices[79],prices[80],prices[81],prices[82],prices[83],prices[84],prices[85],prices[86],prices[87],prices[88],prices[89],prices[90],prices[91],prices[92],prices[93],prices[94],prices[95],prices[96],prices[97],prices[98],prices[99]
1,Dosa,Idli,Vada,Sambar,Rasam,Upma,Pongal,Uttapam,Bisi Bele Bath,Lemon Rice,Coconut Chutney,Tomato Chutney,Pesarattu,Appam,Kerala Parotta,Chicken Chettinad,Hyderabadi Biryani,Masala Dosa,Mysore Masala Dosa,Rava Idli,Hamburger,Cheeseburger,French Fries,Chicken Nuggets,Hot Dog,Pizza,Fried Chicken,Tacos,Burritos,Sandwiches,Wraps,Donuts,Milkshakes,Ice Cream,Onion Rings,Fish and Chips,Falafel,Gyros,Poutine,Fried Rice,Coffee,Tea,Orange Juice,Apple Juice,Lemonade,Iced Tea,Hot Chocolate,Milkshake,Smoothie,Coconut Water,Soda,Sparkling Water,Energy Drink,Protein Shake,Herbal Tea,Chai Latte,Espresso,Cappuccino,Frappuccino,Matcha Latte,Coca-Cola,Pepsi,Sprite,Mountain Dew,Fanta,Dr. Pepper,7UP,Root Beer,Ginger Ale,Club Soda,Tonic Water,Cola Zero,Diet Coke,Lemon-Lime Soda,Orange Soda,Grape Soda,Cream Soda,Iced Coffee,Iced Tea,Bottled Water,,,,,,,,,,,,,,,,,,,,,151,171,46,1,156,130,16,29,184,40,163,130,21,111,58,81,53,124,185,10,115,76,92,147,56,97,121,10,179,152,156,199,18,13,69,51,126,126,33,38,58,140,65,116,16,134,25,63,156,52,126,30,31,5,196,129,150,184,76,100,155,179,48,146,105,200,129,4,168,164,84,127,152,14,130,170,140,90,61,109,,,,,,,,,,,,,,,,,,,,
2,Sushi,Ramen,Tempura,Sashimi,Yakitori,Udon,Tonkatsu,Miso Soup,Okonomiyaki,Gyoza,Donburi,Chawanmushi,Takoyaki,Matcha Ice Cream,Sukiyaki,Onigiri,Shabu-Shabu,Karaage,Oden,Taiyaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,189,105,20,148,186,96,165,80,147,88,70,60,188,62,37,67,187,144,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tacos,Burritos,Quesadillas,Enchiladas,Nachos,Guacamole,Fajitas,Chimichangas,Tamales,Churros,Carne Asada,Carnitas,Mexican Rice,Refried Beans,Salsa Verde,Pico de Gallo,Chile Rellenos,Flan,Margarita,Horchata,Dosa,Idli,Vada,Sambar,Rasam,Upma,Pongal,Uttapam,Bisi Bele Bath,Lemon Rice,Coconut Chutney,Tomato Chutney,Pesarattu,Appam,Kerala Parotta,Chicken Chettinad,Hyderabadi Biryani,Masala Dosa,Mysore Masala Dosa,Rava Idli,Kung Pao Chicken,Fried Rice,Sweet and Sour Pork,Chow Mein,Spring Rolls,Dim Sum,Mapo Tofu,Peking Duck,Hot and Sour Soup,General Tso's Chicken,Beef and Broccoli,Dumplings,Orange Chicken,Szechuan Shrimp,Lo Mein,Egg Foo Young,Cashew Chicken,Mongolian Beef,Crab Rangoon,Sesame Chicken,Coffee,Tea,Orange Juice,Apple Juice,Lemonade,Iced Tea,Hot Chocolate,Milkshake,Smoothie,Coconut Water,Soda,Sparkling Water,Energy Drink,Protein Shake,Herbal Tea,Chai Latte,Espresso,Cappuccino,Frappuccino,Matcha Latte,,,,,,,,,,,,,,,,,,,,,163,184,191,78,109,4,27,118,26,1,158,98,154,113,16,113,148,198,23,13,24,39,157,68,79,120,58,72,65,167,149,86,87,151,116,21,41,5,11,79,114,190,165,127,84,191,57,152,45,70,115,1,154,21,108,194,140,167,154,122,167,83,13,14,92,77,4,177,82,130,193,63,200,163,114,155,111,192,165,11,,,,,,,,,,,,,,,,,,,,
4,Hamburger,Cheeseburger,French Fries,Chicken Nuggets,Hot Dog,Pizza,Fried Chicken,Tacos,Burritos,Sandwiches,Wraps,Donuts,Milkshakes,Ice Cream,Onion Rings,Fish and Chips,Falafel,Gyros,Poutine,Fried Rice,Tacos,Burritos,Quesadillas,Enchiladas,Nachos,Guacamole,Fajitas,Chimichangas,Tamales,Churros,Carne Asada,Carnitas,Mexican Rice,Refried Beans,Salsa Verde,Pico de Gallo,Chile Rellenos,Flan,Margarita,Horchata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,83,24,13,4,137,61,106,104,127,11,18,66,110,119,164,28,33,145,4,189,183,31,9,191,183,150,139,170,90,93,66,38,7,79,13,147,99,45,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tacos,Burritos,Quesadillas,Enchiladas,Nachos,Guacamole,Fajitas,Chimichangas,Tamales,Churros,Carne Asada,Carnitas,Mexican Rice,Refried Beans,Salsa Verde,Pico de Gallo,Chile Rellenos,Flan,Margarita,Horchata,Kimchi,Bulgogi,Bibimbap,Japchae,Tteokbokki,Samgyeopsal,Kimbap,Mandu,Jajangmyeon,Galbi,Sundubu-jjigae,Kimchi Fried Rice,Dak-galbi,Budae Jjigae,Gamjatang,Bossam,Gimbap,Pajeon,Mul-naengmyeon,Bibim-naengmyeon,Sushi,Ramen,Tempura,Sashimi,Yakitori,Udon,Tonkatsu,Miso Soup,Okonomiyaki,Gyoza,Donburi,Chawanmushi,Takoyaki,Matcha Ice Cream,Sukiyaki,Onigiri,Shabu-Shabu,Karaage,Oden,Taiyaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,192,155,63,199,4,176,132,173,175,14,137,94,26,69,76,67,197,90,43,21,190,91,105,67,162,48,120,64,116,147,176,84,105,104,61,165,76,65,125,130,42,54,56,154,112,41,120,54,1,174,80,177,137,154,182,191,133,187,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Kimchi,Bulgogi,Bibimbap,Japchae,Tteokbokki,Samgyeopsal,Kimbap,Mandu,Jajangmyeon,Galbi,Sundubu-jjigae,Kimchi Fried Rice,Dak-galbi,Budae Jjigae,Gamjatang,Bossam,Gimbap,Pajeon,Mul-naengmyeon,Bibim-naengmyeon,Hamburger,Cheeseburger,French Fries,Chicken Nuggets,Hot Dog,Pizza,Fried Chicken,Tacos,Burritos,Sandwiches,Wraps,Donuts,Milkshakes,Ice Cream,Onion Rings,Fish and Chips,Falafel,Gyros,Poutine,Fried Rice,Kung Pao Chicken,Fried Rice,Sweet and Sour Pork,Chow Mein,Spring Rolls,Dim Sum,Mapo Tofu,Peking Duck,Hot and Sour Soup,General Tso's Chicken,Beef and Broccoli,Dumplings,Orange Chicken,Szechuan Shrimp,Lo Mein,Egg Foo Young,Cashew Chicken,Mongolian Beef,Crab Rangoon,Sesame Chicken,Pizza Margherita,Spaghetti Carbonara,Lasagna,Risotto,Fettuccine Alfredo,Caprese Salad,Bruschetta,Tiramisu,Ravioli,Gnocchi,Panzanella,Osso Buco,Arancini,Cannoli,Minestrone Soup,Polenta,Cioppino,Prosciutto e Melone,Insalata Caprese,Panna Cotta,,,,,,,,,,,,,,,,,,,,,131,109,32,147,134,12,190,11,162,96,197,200,190,66,15,154,19,43,79,57,163,69,26,60,162,122,15,120,61,160,4,191,196,8,170,93,105,25,23,32,110,110,166,100,63,110,96,116,57,125,23,149,36,116,161,24,192,82,73,138,163,73,64,91,30,195,150,178,163,173,115,73,169,190,136,144,165,38,170,106,,,,,,,,,,,,,,,,,,,,
7,Pizza Margherita,Spaghetti Carbonara,Lasagna,Risotto,Fettuccine Alfredo,Caprese Salad,Bruschetta,Tiramisu,Ravioli,Gnocchi,Panzanella,Osso Buco,Arancini,Cannoli,Minestrone Soup,Polenta,Cioppino,Prosciutto e Melone,Insalata Caprese,Panna Cotta,Tacos,Burritos,Quesadillas,Enchiladas,Nachos,Guacamole,Fajitas,Chimichangas,Tamales,Churros,Carne Asada,Carnitas,Mexican Rice,Refried Beans,Salsa Verde,Pico de Gallo,Chile Rellenos,Flan,Margarita,Horchata,Kung Pao Chicken,Fried Rice,Sweet and Sour Pork,Chow Mein,Spring Rolls,Dim Sum,Mapo Tofu,Peking Duck,Hot and Sour Soup,General Tso's Chicken,Beef and Broccoli,Dumplings,Orange Chicken,Szechuan Shrimp,Lo Mein,Egg Foo Young,Cashew Chicken,Mongolian Beef,Crab Rangoon,Sesame Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,126,34,138,157,145,117,27,195,168,104,154,36,55,196,38,147,73,48,92,67,43,38,46,93,171,185,189,68,135,147,100,34,97,138,71,83,163,160,26,6,198,59,88,56,37,124,140,15,31,80,16,134,56,95,199,103,177,44,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Butter Chicken,Paneer Tikka,Rogan Josh,Chole Bhature,Aloo Paratha,Dal Makhani,Tandoori Chicken,Palak Paneer,Rajma Chawal,Aloo Gobi,Chicken Biryani,Mutton Curry,Shahi Paneer,Chicken Tikka Masala,Kadai Paneer,Litti Chokha,Matar Paneer,Dum Aloo,Malai Kofta,Baingan Bharta,Coca-Cola,Pepsi,Sprite,Mountain Dew,Fanta,Dr. Pepper,7UP,Root Beer,Ginger Ale,Club Soda,Tonic Water,Cola Zero,Diet Coke,Lemon-Lime Soda,Orange Soda,Grape Soda,Cream Soda,Iced Coffee,Iced Tea,Bottled Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,134,114,116,25,101,195,176,136,82,36,160,184,74,21,168,84,136,148,121,20,78,86,175,5,91,58,45,132,187,38,75,98,21,122,1,142,23,165,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Dosa,Idli,Vada,Sambar,Rasam,Upma,Pongal,Uttapam,Bisi Bele Bath,Lemon Rice,Coconut Chutney,Tomato Chutney,Pesarattu,Appam,Kerala Parotta,Chicken Chettinad,Hyderabadi Biryani,Masala Dosa,Mysore Masala Dosa,Rava Idli,Butter Chicken,Paneer Tikka,Rogan Josh,Chole Bhature,Aloo Paratha,Dal Makhani,Tandoori Chicken,Palak Paneer,Rajma Chawal,Aloo Gobi,Chicken Biryani,Mutton Curry,Shahi Paneer,Chicken Tikka Masala,Kadai Paneer,Litti Chokha,Matar Paneer,Dum Aloo,Malai Kofta,Baingan Bharta,Hamburger,Cheeseburger,French Fries,Chicken Nuggets,Hot Dog,Pizza,Fried Chicken,Tacos,Burritos,Sandwiches,Wraps,Donuts,Milkshakes,Ice Cream,Onion Rings,Fish and Chips,Falafel,Gyros,Poutine,Fried Rice,Pizza Margherita,Spaghetti Carbonara,Lasagna,Risotto,Fettuccine Alfredo,Caprese Salad,Bruschetta,Tiramisu,Ravioli,Gnocchi,Panzanella,Osso Buco,Arancini,Cannoli,Minestrone Soup,Polenta,Cioppino,Prosciutto e Melone,Insalata Caprese,Panna Cotta,,,,,,,,,,,,,,,,,,,,,176,86,149,25,103,143,140,196,36,163,28,176,58,176,81,21,126,128,2,83,77,166,128,160,122,52,73,87,28,8,103,84,38,198,102,45,170,138,14,171,67,173,194,76,74,61,54,21,174,51,185,63,68,130,43,4,6,65,54,159,54,81,155,6,43,167,52,143,189,38,108,156,47,63,150,18,37,171,114,170,,,,,,,,,,,,,,,,,,,,
10,Coca-Cola,Pepsi,Sprite,Mountain Dew,Fanta,Dr. Pepper,7UP,Root Beer,Ginger Ale,Club Soda,Tonic Water,Cola Zero,Diet Coke,Lemon-Lime Soda,Orange Soda,Grape Soda,Cream Soda,Iced Coffee,Iced Tea,Bottled Water,Tacos,Burritos,Quesadillas,Enchiladas,Nachos,Guacamole,Fajitas,Chimichangas,Tamales,Churros,Carne Asada,Carnitas,Mexican Rice,Refried Beans,Salsa Verde,Pico de Gallo,Chile Rellenos,Flan,Margarita,Horchata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,151,89,193,106,165,56,190,134,133,186,28,28,111,56,90,8,109,136,49,189,169,50,116,137,38,163,101,67,125,116,8,19,142,107,200,190,80,155,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
